epoch,arousal_output_loss,arousal_output_mae,dominance_output_loss,dominance_output_mae,loss,val_arousal_output_loss,val_arousal_output_mae,val_dominance_output_loss,val_dominance_output_mae,val_loss,val_valence_output_loss,val_valence_output_mae,valence_output_loss,valence_output_mae
0,15.161617279052734,0.5590528249740601,11.673490524291992,0.6119861006736755,68.6500244140625,0.5176354646682739,0.4334396421909332,0.679684042930603,0.5130991339683533,2.494626760482788,1.2973051071166992,0.8292118906974792,41.8149528503418,0.9460636377334595
1,20.78986167907715,0.5669069290161133,10.337440490722656,0.5810853242874146,37.91783905029297,0.4081500470638275,0.4660269021987915,0.5062063336372375,0.548210084438324,2.060116767883301,1.1457618474960327,0.8405459523200989,6.7905426025390625,0.8487299084663391
2,76.18401336669922,0.5130966901779175,65.8156509399414,0.5268669128417969,165.58168029785156,0.32353365421295166,0.4101518988609314,0.4195308983325958,0.497782826423645,1.7740561962127686,1.0309910774230957,0.7960597276687622,23.58190155029297,0.8202289938926697
3,5.736341953277588,0.43940451741218567,3.727238416671753,0.4653457701206207,13.16237735748291,0.3102797865867615,0.40445125102996826,0.4046955108642578,0.4883648455142975,1.7551515102386475,1.0401757955551147,0.8031628131866455,3.698798894882202,0.7758142948150635
4,0.3676849603652954,0.42834851145744324,0.4136984944343567,0.45803242921829224,1.7294881343841553,0.3216833770275116,0.42230498790740967,0.4010307490825653,0.4828493893146515,1.7468875646591187,1.0241737365722656,0.7938497066497803,0.9481045603752136,0.7591897249221802
5,0.35512661933898926,0.4394310414791107,0.3602604866027832,0.45555010437965393,1.6496790647506714,0.38002315163612366,0.45681026577949524,0.5324949026107788,0.5934929251670837,1.9550639390945435,1.042545199394226,0.804649293422699,0.9342912435531616,0.7537521719932556
6,0.35475391149520874,0.43543246388435364,0.3868406116962433,0.45193594694137573,1.6565841436386108,0.3231351673603058,0.4132707118988037,0.4343155026435852,0.4954497516155243,1.839361310005188,1.0819097757339478,0.8115692138671875,0.914990246295929,0.7437855005264282
7,0.3502795994281769,0.43574807047843933,0.3388039767742157,0.44477182626724243,1.5635284185409546,0.31860536336898804,0.41248318552970886,0.4075694680213928,0.4899999499320984,1.7643463611602783,1.0381718873977661,0.7996149063110352,0.8744446635246277,0.7344693541526794
8,0.3514309227466583,0.4371894896030426,0.3315880298614502,0.44015827775001526,1.5516847372055054,0.30690935254096985,0.4031865894794464,0.4158875048160553,0.4830794632434845,1.8116023540496826,1.0888057947158813,0.8126764297485352,0.8686671853065491,0.7312155365943909
9,0.3465229272842407,0.4326556324958801,0.3278927803039551,0.43888136744499207,1.525577425956726,0.3510960638523102,0.43570443987846375,0.3960437476634979,0.4781065285205841,1.7873258590698242,1.0401856899261475,0.800385057926178,0.8511612415313721,0.7230034470558167
10,0.34684041142463684,0.43191152811050415,0.3305751383304596,0.43972450494766235,1.5243948698043823,0.29937252402305603,0.39958953857421875,0.44301146268844604,0.5011351704597473,1.8109310865402222,1.0685462951660156,0.8084354400634766,0.8469807505607605,0.7232584953308105
11,0.34220820665359497,0.4295021593570709,0.3191111385822296,0.4329901337623596,1.4872218370437622,0.3406056761741638,0.42613449692726135,0.42120346426963806,0.48596712946891785,1.9303066730499268,1.1684975624084473,0.8436064124107361,0.8259027600288391,0.7136439085006714
12,0.35329189896583557,0.42670321464538574,0.34542280435562134,0.4298125207424164,1.546033263206482,0.3084961771965027,0.4136083722114563,0.44261693954467773,0.5004555583000183,1.8819048404693604,1.1307927370071411,0.8305495977401733,0.8473159670829773,0.7126757502555847
13,0.3341612219810486,0.4227152466773987,0.31449899077415466,0.4295823872089386,1.4621493816375732,0.29900363087654114,0.3919331133365631,0.4946386516094208,0.5324546098709106,1.916174054145813,1.1225318908691406,0.8297128677368164,0.8134875893592834,0.7083316445350647
14,0.3323719799518585,0.4210089445114136,0.30981436371803284,0.42539891600608826,1.4490554332733154,0.2916427552700043,0.388088583946228,0.3988838791847229,0.47713080048561096,1.7532713413238525,1.062743902206421,0.810217022895813,0.8068705201148987,0.7065011262893677
15,0.37332817912101746,0.4197043776512146,0.49342671036720276,0.42963746190071106,1.7838672399520874,0.29808416962623596,0.3903573155403137,0.40586626529693604,0.48919394612312317,1.7739691734313965,1.0700187683105469,0.8148530125617981,0.9171102046966553,0.7026553750038147
16,0.32002612948417664,0.41036027669906616,0.3031163215637207,0.4206579029560089,1.4084922075271606,0.2874845564365387,0.3861261308193207,0.4336085319519043,0.49274685978889465,1.8383123874664307,1.1172189712524414,0.8238763213157654,0.7853501439094543,0.6974449157714844
17,0.32020509243011475,0.40977439284324646,0.3012899160385132,0.4206271171569824,1.4057233333587646,0.28741416335105896,0.3832627236843109,0.41914546489715576,0.4853758215904236,1.784303069114685,1.0777440071105957,0.8117966055870056,0.7842275500297546,0.6970244646072388
18,0.3156346082687378,0.40737614035606384,0.29923418164253235,0.4186681807041168,1.3874974250793457,0.3062734305858612,0.39899054169654846,0.40011557936668396,0.47945651412010193,1.7963793277740479,1.0899897813796997,0.8159102201461792,0.7726279497146606,0.6917282342910767
19,0.31809142231941223,0.4033743739128113,0.3066217005252838,0.42092597484588623,1.4955438375473022,0.27412858605384827,0.37743079662323,0.41325628757476807,0.4833546578884125,1.7732340097427368,1.0858495235443115,0.8169516324996948,0.8708317279815674,0.6970790028572083
